epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.646,3.09345,4.55359,4.20046,0.00215,0.43593,0.01208,0.00247,2.80162,4.76555,4.14825,0.0002875,0.0002875,0.0002875
2,391.98,3.11238,4.50904,4.1289,0.00212,0.45035,0.00229,0.00072,2.77165,4.74709,4.08183,0.000575868,0.000575868,0.000575868
3,581.845,3.06001,4.35658,4.01017,0.00179,0.46361,0.00449,0.00109,2.78683,4.74725,3.92548,0.000852355,0.000852355,0.000852355
4,776.291,3.05807,4.24265,3.81884,0.75314,0.05106,0.00598,0.00158,2.76337,6.386,3.97831,0.00111696,0.00111696,0.00111696
5,965.348,3.1021,4.14532,3.70844,0.00332,0.48458,0.00751,0.00213,2.74831,4.77016,3.87557,0.001151,0.001151,0.001151
6,1152.77,3.08687,4.1196,3.62032,0.00279,0.41156,0.00297,0.00097,2.87952,4.73185,4.40802,0.00112625,0.00112625,0.00112625
7,1340.15,3.05574,4.03667,3.53156,0.00308,0.24031,0.00228,0.00075,2.97748,15.4509,4.64558,0.0011015,0.0011015,0.0011015
8,1528.51,3.12421,4.00486,3.52011,0.00265,0.52321,0.00303,0.00106,2.74476,6.63968,3.58594,0.00107675,0.00107675,0.00107675
9,1719.4,3.00613,4.01701,3.42788,0.26369,0.07447,0.00857,0.00209,2.82567,5.30867,3.61856,0.001052,0.001052,0.001052
10,1907.62,2.97369,3.98967,3.38107,0.00267,0.61563,0.0053,0.00158,2.69415,5.5861,3.36848,0.00102725,0.00102725,0.00102725
11,2094.91,2.88756,3.96726,3.35146,0.00434,0.47898,0.00778,0.00239,2.64437,4.27715,3.63628,0.0010025,0.0010025,0.0010025
12,2282.24,2.82916,3.99936,3.32269,0.00456,0.55445,0.01174,0.00328,2.53944,4.24531,3.52005,0.00097775,0.00097775,0.00097775
13,2473.81,2.69686,3.90939,3.23524,0.54472,0.05666,0.01993,0.00524,2.52435,4.26157,3.20811,0.000953,0.000953,0.000953
14,2661.53,2.68611,3.93761,3.21839,0.00897,0.39692,0.01558,0.00428,2.47448,4.18868,3.25488,0.00092825,0.00092825,0.00092825
15,2849.57,2.56748,3.85413,3.13544,0.76967,0.01538,0.0167,0.00421,2.44999,4.15502,3.20292,0.0009035,0.0009035,0.0009035
16,3038.11,2.67501,3.90073,3.12695,0.75819,0.02692,0.01264,0.00401,2.39338,4.18259,3.06509,0.00087875,0.00087875,0.00087875
17,3225.56,2.4833,3.80577,3.05306,0.00463,0.74157,0.01298,0.00426,2.3173,4.09556,3.17171,0.000854,0.000854,0.000854
18,3413.35,2.46435,3.79362,3.06481,0.00433,0.78164,0.01038,0.00362,2.29186,4.12878,3.17219,0.00082925,0.00082925,0.00082925
19,3602.16,2.42413,3.83774,3.01633,0.27559,0.03716,0.01231,0.00472,2.28766,4.05913,3.13877,0.0008045,0.0008045,0.0008045
20,3789.63,2.3801,3.69742,2.93284,0.31155,0.02914,0.03083,0.01032,2.277,3.89991,3.02228,0.00077975,0.00077975,0.00077975
